METADATA
solver_name,Dykstra
max_iterations,30
dimensions,2
num_constraints,6
track_error,True
plot_errors,False
plot_active_halfspaces,True

INITIAL_POINT
z_0,z_1
-4.0,1.4

FINAL_PROJECTION
projection_0,projection_1
-0.035184372088832294,1.0175921860444168

CONSTRAINTS_N
normal_0,1.0,0.0
normal_1,-1.0,0.0
normal_2,0.0,1.0
normal_3,0.0,-1.0
normal_4,0.5,1.0
normal_5,-0.5,-1.0

CONSTRAINTS_C
c_0,c_1,c_2,c_3,c_4,c_5
1.0,1.0,1.0,1.0,1.0,-1.0

PATH_HISTORY
iteration,constraint,dim_0,dim_1
19,0,-0.5120000000000013,1.2560000000000002
19,1,-0.5120000000000013,1.0
19,2,-0.40960000000000063,1.2048000000000014
20,0,-0.40960000000000063,1.2048000000000014
20,1,-0.40960000000000063,1.0
20,2,-0.32768000000000086,1.1638399999999995
21,0,-0.32768000000000086,1.1638399999999995
21,1,-0.32768000000000086,1.0
21,2,-0.2621440000000006,1.1310720000000005
22,0,-0.2621440000000006,1.1310720000000005
22,1,-0.2621440000000006,1.0
22,2,-0.2097152000000002,1.1048576000000008
23,0,-0.2097152000000002,1.1048576000000008
23,1,-0.2097152000000002,1.0
23,2,-0.16777215999999973,1.083886080000001
24,0,-0.16777215999999973,1.083886080000001
24,1,-0.16777215999999973,1.0
24,2,-0.13421772799999943,1.0671088640000006
25,0,-0.13421772799999943,1.0671088640000006
25,1,-0.13421772799999943,1.0
25,2,-0.10737418239999963,1.0536870911999996
26,0,-0.10737418239999963,1.0536870911999996
26,1,-0.10737418239999963,1.0
26,2,-0.08589934592000015,1.042949672959999
27,0,-0.08589934592000015,1.042949672959999
27,1,-0.08589934592000015,1.0
27,2,-0.06871947673600065,1.034359738367999
28,0,-0.06871947673600065,1.034359738367999
28,1,-0.06871947673600065,1.0
28,2,-0.05497558138880043,1.0274877906944004
29,0,-0.05497558138880043,1.0274877906944004
29,1,-0.05497558138880043,1.0
29,2,-0.0439804651110407,1.0219902325555195
30,0,-0.0439804651110407,1.0219902325555195
30,1,-0.0439804651110407,1.0
30,2,-0.035184372088832294,1.0175921860444168

SQUARED_ERRORS
iteration,squared_error
0,16.16
1,0.8
2,0.8
3,0.8
4,0.8
5,0.8
6,0.8
7,0.8
8,0.8
9,0.8
10,0.8
11,0.8
12,0.8
13,0.8
14,0.8
15,0.8
16,0.8
17,0.512
18,0.32768
19,0.2097152
20,0.134217728
21,0.0858993459
22,0.0549755814
23,0.0351843721
24,0.0225179981
25,0.0144115188
26,0.009223372
27,0.0059029581
28,0.0037778932
29,0.0024178516
30,0.001547425

STALLED_ERRORS
iteration,stalled_error
0,nan
1,nan
2,0.8
3,0.8
4,0.8
5,0.8
6,0.8
7,0.8
8,0.8
9,0.8
10,0.8
11,0.8
12,0.8
13,0.8
14,0.8
15,0.8
16,0.8
17,nan
18,nan
19,nan
20,nan
21,nan
22,nan
23,nan
24,nan
25,nan
26,nan
27,nan
28,nan
29,nan
30,nan

CONVERGED_ERRORS
iteration,converged_error
0,nan
1,nan
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,nan
9,nan
10,nan
11,nan
12,nan
13,nan
14,nan
15,nan
16,nan
17,nan
18,nan
19,nan
20,nan
21,nan
22,nan
23,nan
24,nan
25,nan
26,nan
27,nan
28,nan
29,nan
30,nan

ACTIVE_HALFSPACES
constraint,iteration_0,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0

