METADATA
solver_name,Dykstra
max_iterations,30
dimensions,2
num_constraints,6
track_error,True
plot_errors,False
plot_active_halfspaces,True

INITIAL_POINT
z_0,z_1
-2.0,1.4

FINAL_PROJECTION
projection_0,projection_1
-0.0037778931862961773,1.001888946593148

CONSTRAINTS_N
normal_0,1.0,0.0
normal_1,-1.0,0.0
normal_2,0.0,1.0
normal_3,0.0,-1.0
normal_4,0.5,1.0
normal_5,-0.5,-1.0

CONSTRAINTS_C
c_0,c_1,c_2,c_3,c_4,c_5
1.0,1.0,1.0,1.0,1.0,-1.0

PATH_HISTORY
iteration,constraint,dim_0,dim_1
0,0,-2.0,1.4
0,1,-2.0,1.4
0,2,-2.0,1.4
1,0,-1.0,1.4
1,1,-1.0,1.0
1,2,-0.8,1.4
2,0,-1.0,1.4
2,1,-1.0,1.0
2,2,-0.8,1.4
3,0,-1.0,1.4
3,1,-1.0,1.0
3,2,-0.8,1.4
4,0,-1.0,1.4
4,1,-1.0,1.0
4,2,-0.8,1.4
5,0,-1.0,1.4
5,1,-1.0,1.0
5,2,-0.8,1.4
6,0,-1.0,1.4
6,1,-1.0,1.0
6,2,-0.8000000000000003,1.3999999999999995
7,0,-0.8000000000000005,1.3999999999999995
7,1,-0.8000000000000005,1.0
7,2,-0.6400000000000003,1.3200000000000003
8,0,-0.6400000000000003,1.3200000000000003
8,1,-0.6400000000000003,1.0
8,2,-0.5120000000000005,1.2559999999999998
9,0,-0.5120000000000005,1.2559999999999998
9,1,-0.5120000000000005,1.0
9,2,-0.4096000000000004,1.2048
10,0,-0.4096000000000004,1.2048
10,1,-0.4096000000000004,1.0
10,2,-0.32768000000000064,1.1638399999999995
11,0,-0.32768000000000064,1.1638399999999995
11,1,-0.32768000000000064,1.0
11,2,-0.2621440000000006,1.131072
12,0,-0.2621440000000006,1.131072
12,1,-0.2621440000000006,1.0
12,2,-0.20971520000000066,1.1048575999999999
13,0,-0.20971520000000066,1.1048575999999999
13,1,-0.20971520000000066,1.0
13,2,-0.16777216000000084,1.0838860799999996
14,0,-0.16777216000000084,1.0838860799999996
14,1,-0.16777216000000084,1.0
14,2,-0.13421772800000076,1.0671088640000002
15,0,-0.13421772800000076,1.0671088640000002
15,1,-0.13421772800000076,1.0
15,2,-0.10737418240000074,1.0536870912
16,0,-0.10737418240000074,1.0536870912
16,1,-0.10737418240000074,1.0
16,2,-0.08589934592000081,1.0429496729599999
17,0,-0.08589934592000081,1.0429496729599999
17,1,-0.08589934592000081,1.0
17,2,-0.06871947673600065,1.0343597383680003
18,0,-0.06871947673600065,1.0343597383680003
18,1,-0.06871947673600065,1.0
18,2,-0.05497558138880043,1.0274877906944004
19,0,-0.05497558138880043,1.0274877906944004
19,1,-0.05497558138880043,1.0
19,2,-0.04398046511104048,1.02199023255552
20,0,-0.04398046511104048,1.02199023255552
20,1,-0.04398046511104048,1.0
20,2,-0.035184372088832516,1.017592186044416
21,0,-0.035184372088832516,1.017592186044416
21,1,-0.035184372088832516,1.0
21,2,-0.02814749767106628,1.0140737488355325
22,0,-0.02814749767106628,1.0140737488355325
22,1,-0.02814749767106628,1.0
22,2,-0.022517998136853068,1.0112589990684264
23,0,-0.022517998136853068,1.0112589990684264
23,1,-0.022517998136853068,1.0
23,2,-0.0180143985094825,1.0090071992547411
24,0,-0.0180143985094825,1.0090071992547411
24,1,-0.0180143985094825,1.0
24,2,-0.014411518807585955,1.007205759403793
25,0,-0.014411518807585955,1.007205759403793
25,1,-0.014411518807585955,1.0
25,2,-0.01152921504606863,1.0057646075230346
26,0,-0.01152921504606863,1.0057646075230346
26,1,-0.01152921504606863,1.0
26,2,-0.009223372036855082,1.004611686018427
27,0,-0.009223372036855082,1.004611686018427
27,1,-0.009223372036855082,1.0
27,2,-0.007378697629484288,1.0036893488147416
28,0,-0.007378697629484288,1.0036893488147416
28,1,-0.007378697629484288,1.0
28,2,-0.005902958103587652,1.0029514790517933
29,0,-0.005902958103587652,1.0029514790517933
29,1,-0.005902958103587652,1.0
29,2,-0.004722366482870166,1.002361183241435
30,0,-0.004722366482870166,1.002361183241435
30,1,-0.004722366482870166,1.0
30,2,-0.0037778931862961773,1.001888946593148

SQUARED_ERRORS
iteration,squared_error
0,4.16
1,0.8
2,0.8
3,0.8
4,0.8
5,0.8
6,0.8
7,0.512
8,0.32768
9,0.2097152
10,0.134217728
11,0.0858993459
12,0.0549755814
13,0.0351843721
14,0.0225179981
15,0.0144115188
16,0.009223372
17,0.0059029581
18,0.0037778932
19,0.0024178516
20,0.001547425
21,0.000990352
22,0.0006338253
23,0.0004056482
24,0.0002596148
25,0.0001661535
26,0.0001063382
27,6.80565e-05
28,4.35561e-05
29,2.78759e-05
30,1.78406e-05

STALLED_ERRORS
iteration,stalled_error
0,nan
1,nan
2,0.8
3,0.8
4,0.8
5,0.8
6,0.8
7,nan
8,nan
9,nan
10,nan
11,nan
12,nan
13,nan
14,nan
15,nan
16,nan
17,nan
18,nan
19,nan
20,nan
21,nan
22,nan
23,nan
24,nan
25,nan
26,nan
27,nan
28,nan
29,nan
30,nan

CONVERGED_ERRORS
iteration,converged_error
0,nan
1,nan
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,nan
9,nan
10,nan
11,nan
12,nan
13,nan
14,nan
15,nan
16,nan
17,nan
18,nan
19,nan
20,nan
21,0.000990352
22,0.0006338253
23,0.0004056482
24,0.0002596148
25,0.0001661535
26,0.0001063382
27,6.80565e-05
28,4.35561e-05
29,2.78759e-05
30,1.78406e-05

ACTIVE_HALFSPACES
