METADATA
solver_name,Algorithm (1)
max_iterations,51
dimensions,2
num_constraints,6
track_error,True
plot_errors,False
plot_active_halfspaces,True

INITIAL_POINT
z_0,z_1
-4.0,1.4

FINAL_PROJECTION
projection_0,projection_1
-1.427247692653566e-05,1.0000071362384633

CONSTRAINTS_N
normal_0,1.0,0.0
normal_1,-1.0,0.0
normal_2,0.0,1.0
normal_3,0.0,-1.0
normal_4,0.5,1.0
normal_5,-0.5,-1.0

CONSTRAINTS_C
c_0,c_1,c_2,c_3,c_4,c_5
1.0,1.0,1.0,1.0,1.0,-1.0

PATH_HISTORY
iteration,constraint,dim_0,dim_1
15,1,-0.05497558138880043,1.0
15,2,-0.0439804651110407,1.0219902325555195
16,0,-0.0439804651110407,1.0219902325555195
16,1,-0.0439804651110407,1.0
16,2,-0.035184372088832294,1.0175921860444168
17,0,-0.035184372088832294,1.0175921860444168
17,1,-0.035184372088832294,1.0
17,2,-0.028147497671065835,1.014073748835533
18,0,-0.028147497671065835,1.014073748835533
18,1,-0.028147497671065835,1.0
18,2,-0.022517998136852402,1.0112589990684269
19,0,-0.022517998136852402,1.0112589990684269
19,1,-0.022517998136852402,1.0
19,2,-0.01801439850948139,1.009007199254742
20,0,-0.01801439850948139,1.009007199254742
20,1,-0.01801439850948139,1.0
20,2,-0.014411518807585288,1.0072057594037922
21,0,-0.014411518807585288,1.0072057594037922
21,1,-0.014411518807585288,1.0
21,2,-0.011529215046068853,1.0057646075230329
22,0,-0.011529215046068853,1.0057646075230329
22,1,-0.011529215046068853,1.0
22,2,-0.009223372036855526,1.0046116860184267
23,0,-0.009223372036855526,1.0046116860184267
23,1,-0.009223372036855526,1.0
23,2,-0.007378697629484954,1.0036893488147411
24,0,-0.007378697629484954,1.0036893488147411
24,1,-0.007378697629484954,1.0
24,2,-0.005902958103587874,1.0029514790517942
25,0,-0.005902958103587874,1.0029514790517942
25,1,-0.005902958103587874,1.0
25,2,-0.004722366482869944,1.0023611832414359
26,0,-0.004722366482869944,1.0023611832414359
26,1,-0.004722366482869944,1.0
26,2,-0.003777893186295511,1.0018889465931489
27,0,-0.003777893186295511,1.0018889465931489
27,1,-0.003777893186295511,1.0
27,2,-0.0030223145490362313,1.0015111572745186
28,0,-0.0030223145490362313,1.0015111572745186
28,1,-0.0030223145490362313,1.0
28,2,-0.0024178516392288074,1.0012089258196148
29,0,-0.0024178516392288074,1.0012089258196148
29,1,-0.0024178516392288074,1.0
29,2,-0.001934281311382513,1.0009671406556926
30,0,-0.001934281311382513,1.0009671406556926
30,1,-0.001934281311382513,1.0
30,2,-0.0015474250491060992,1.0007737125245528
31,0,-0.0015474250491060992,1.0007737125245528
31,1,-0.0015474250491060992,1.0
31,2,-0.0012379400392843465,1.0006189700196435
32,0,-0.0012379400392843465,1.0006189700196435
32,1,-0.0012379400392843465,1.0
32,2,-0.0009903520314273884,1.000495176015714
33,0,-0.0009903520314273884,1.000495176015714
33,1,-0.0009903520314273884,1.0
33,2,-0.0007922816251419995,1.0003961408125708
34,0,-0.0007922816251419995,1.0003961408125708
34,1,-0.0007922816251419995,1.0
34,2,-0.0006338253001136884,1.0003169126500566
35,0,-0.0006338253001136884,1.0003169126500566
35,1,-0.0006338253001136884,1.0
35,2,-0.0005070602400905067,1.0002535301200464
36,0,-0.0005070602400905067,1.0002535301200464
36,1,-0.0005070602400905067,1.0
36,2,-0.0004056481920722277,1.0002028240960366
37,0,-0.0004056481920722277,1.0002028240960366
37,1,-0.0004056481920722277,1.0
37,2,-0.00032451855365778215,1.000162259276829
38,0,-0.00032451855365778215,1.000162259276829
